box_wkt,box_class,box_confidence
"POLYGON((550944.478515625 179557.4140625, 550949.11328125 179557.4140625, 550949.11328125 179561.24790039062, 550944.478515625 179561.24790039062, 550944.478515625 179557.4140625))",pier,0.21277961134910583
"POLYGON((550936.0696289062 179607.7813720703, 550943.5224609375 179607.7813720703, 550943.5224609375 179613.49633789062, 550936.0696289062 179613.49633789062, 550936.0696289062 179607.7813720703))",pier,0.170098215341568
"POLYGON((550920.149609375 179603.25, 550943.0243164062 179603.25, 550943.0243164062 179615.72263183593, 550920.149609375 179615.72263183593, 550920.149609375 179603.25))",pier,0.29103171825408936
"POLYGON((550873.9680664062 179562.67973632814, 550940.6895507813 179562.67973632814, 550940.6895507813 179615.20766601563, 550873.9680664062 179615.20766601563, 550873.9680664062 179562.67973632814))",pier,0.2307807058095932
"POLYGON((550892.4609375 179460.71015625, 550901.20546875 179460.71015625, 550901.20546875 179500.00888671874, 550892.4609375 179500.00888671874, 550892.4609375 179460.71015625))",pier,0.1834816038608551
"POLYGON((550918.9278320313 179423.43061523436, 550959.4048828125 179423.43061523436, 550959.4048828125 179483.51337890624, 550918.9278320313 179483.51337890624, 550918.9278320313 179423.43061523436))",pier,0.2586146295070648
"POLYGON((550866.6108398438 179424.178125, 550895.2849609375 179424.178125, 550895.2849609375 179460.94399414063, 550866.6108398438 179460.94399414063, 550866.6108398438 179424.178125))",pier,0.20627589523792267
"POLYGON((550924.9390625 179453.19326171876, 550955.183203125 179453.19326171876, 550955.183203125 179464.6310546875, 550924.9390625 179464.6310546875, 550924.9390625 179453.19326171876))",pier,0.2404741793870926
"POLYGON((550951.4552734375 179424.728125, 550973.553515625 179424.728125, 550973.553515625 179481.8626953125, 550951.4552734375 179481.8626953125, 550951.4552734375 179424.728125))",pier,0.3097805976867676
"POLYGON((550914.8744140625 179402.39331054688, 550925.8796875 179402.39331054688, 550925.8796875 179452.2859375, 550914.8744140625 179452.2859375, 550914.8744140625 179402.39331054688))",pier,0.18566106259822845
"POLYGON((550916.333984375 179396.79404296874, 550933.7280273438 179396.79404296874, 550933.7280273438 179423.54638671875, 550916.333984375 179423.54638671875, 550916.333984375 179396.79404296874))",pier,0.21953946352005005
"POLYGON((550959.6543945313 179390.66181640624, 550976.4872070312 179390.66181640624, 550976.4872070312 179423.4419433594, 550959.6543945313 179423.4419433594, 550959.6543945313 179390.66181640624))",pier,0.3253970742225647
"POLYGON((550919.4791015625 179232.49130859374, 550933.994921875 179232.49130859374, 550933.994921875 179273.2705078125, 550919.4791015625 179273.2705078125, 550919.4791015625 179232.49130859374))",pier,0.5057191252708435
"POLYGON((550192.0323242188 179221.2935546875, 550236.6182617188 179221.2935546875, 550236.6182617188 179237.1583984375, 550192.0323242188 179237.1583984375, 550192.0323242188 179221.2935546875))",pier,0.17481376230716705
"POLYGON((550869.283984375 179223.7406738281, 550885.4196289063 179223.7406738281, 550885.4196289063 179264.19985351563, 550869.283984375 179264.19985351563, 550869.283984375 179223.7406738281))",pier,0.15430006384849548
"POLYGON((550901.9587890625 179223.46318359376, 550930.8270507812 179223.46318359376, 550930.8270507812 179272.95219726564, 550901.9587890625 179272.95219726564, 550901.9587890625 179223.46318359376))",pier,0.4573211371898651
