WKT,_predicate,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((601041.846000002 344204.732999999,601041.616 344208.868000004,601041.35 344209.210999999,601040.881000002 344209.227,601040.123 344209.161000002,601034.374 344208.785,601034.07 344210.467000002,601055.453 344212.206000002,601055.540000001 344211.139,601055.589999999 344210.528999999,601047.221000001 344210.111,601044.848 344209.753,601043.530000001 344209.433,601043.302000001 344209.231999999,601043.245000001 344208.796,601043.615 344205.854355283,601044.357355285 344194.707447167,601042.814451763 344194.603239775,601041.846000002 344204.732999999)))",INTERSECTS,55.03523945300,43.01862000760
"MULTIPOLYGON (((600445.745000002 344475.177999999,600445.273000001 344475.238,600445.062597524 344475.495803954,600442.287397141 344474.016806157,600442.503764401 344473.614476137,600441.28875893 344472.99303871,600440.566852016 344473.848252943,600438.666152951 344472.766979609,600437.912195817 344473.979486777,600441.107471759 344476.081780955,600442.159841117 344474.736941472,600444.884000001 344476.357000001,600449.797000002 344479.078,600449.288000002 344479.997000001,600449.808000001 344480.285000004,600450.551 344480.697000002,600452.211 344477.699000001,600451.616000001 344477.396000002,600451.079 344477.065000001,600450.525 344477.963,600445.745000002 344475.177999999)))",INTERSECTS,21.13041017430,12.83985650620
"MULTIPOLYGON (((600417.488612488 344596.649531934,600416.711263303 344600.678394252,600422.561554856 344601.829406956,600432.176921576 344603.771790987,600434.687209016 344604.158496452,600435.120325409 344602.781527324,600430.009764725 344601.708945351,600418.655591487 344599.36873295,600419.154608999 344596.912785461,600417.488612488 344596.649531934)))",INTERSECTS,13.74627007210,6.36980150626
"MULTIPOLYGON (((600441.499000002 344482.446000004,600433.745886726 344479.08303648,600433.15568349 344480.19196846,600440.838000001 344483.832,600445.357 344486.235000001,600445.545000001 344486.335000003,600444.986 344487.104,600445.913000001 344487.777000001,600447.912999999 344485.021,600446.986 344484.348000001,600446.463 344485.07,600446.333000001 344484.950999999,600441.499000002 344482.446000004)))",INTERSECTS,20.02622384130,12.46796499970
"MULTIPOLYGON (((600462.115745749 344446.258034009,600461.966982996 344446.614542516,600457.625635005 344444.891787712,600457.162975173 344445.917821987,600461.496271256 344447.561965991,600461.378508503 344447.805491498,600465.763000001 344449.719000001,600466.164 344449.9,600465.758000001 344450.802000003,600466.695 344451.224000001,600468.118 344448.059,600467.181000001 344447.638000002,600466.8 344448.484999999,600466.367 344448.265000001,600462.115745749 344446.258034009)))",INTERSECTS,19.29720422650,11.55227400190
"MULTIPOLYGON (((600464.826999999 344438.561000001,600455.804046817 344435.919726755,600455.388632027 344437.337422885,600464.149000001 344440.192000002,600468.918000001 344442.086999999,600468.414000001 344442.886000004,600468.828 344443.104,600469.400000002 344443.406000003,600471.119 344440.154000003,600470.651000001 344439.885000004,600470.018000001 344439.491000002,600469.364 344440.540000001,600465.027 344438.647999998,600464.826999999 344438.561000001)))",INTERSECTS,20.10751916990,12.99764999930
"MULTIPOLYGON (((600428.828104327 344488.620874025,600428.256693397 344489.841665011,600439.55 344494.896,600439.022 344495.827000001,600439.247000001 344495.947000004,600440.28 344496.538000001,600441.982000001 344493.563999997,600440.908 344492.950000003,600440.715000001 344492.840000002,600440.138000001 344493.858999999,600428.828104327 344488.620874025)))",INTERSECTS,19.55524465410,10.19839500270
"MULTIPOLYGON (((600984.919000001 344211.771,600982.515000001 344204.345000004,600982.300000002 344203.680000002,600982.271 344203.592000002,600980.97 344199.570000002,600980.300000001 344199.790000001,600981.593000001 344203.774000002,600981.64 344203.920000002,600981.76 344204.289999999,600973.849 344206.682000004,600972.170000001 344207.190000001,600972.256000001 344207.473999999,600972.430000001 344208.050000001,600973.867000001 344207.616,600982.040000002 344205.150000004,600983.43620406 344210.67311986,600983.718898794 344211.83813604,600983.891305266 344212.612982998,600983.629 344212.66,600955.290000001 344219.559999999,600955.480000001 344220.340000004,600985.340000002 344213.070000002,600984.919000001 344211.771)))",INTERSECTS,109.78103761100,43.05497799900
"MULTIPOLYGON (((600797.791750531 344241.743809795,600796.541014194 344242.173220726,600798.465239888 344249.381921578,600799.836 344253.733000001,600781.068000001 344259.989,600781.446 344261.125,600801.515 344254.435000001,600800.206325409 344250.147325411,600797.791750531 344241.743809795)))",INTERSECTS,54.93768957930,32.59817801080
"MULTIPOLYGON (((600822.928061747 344237.601455998,600821.482914478 344237.858161461,600822.511000001 344244.717000002,600822.994 344248.355,600811.525000001 344251.153999999,600811.883999999 344252.626999998,600824.640999999 344249.514,600823.977000001 344244.477000002,600822.928061747 344237.601455998)))",INTERSECTS,46.18920882150,32.45338900790
"MULTIPOLYGON (((600471.723000002 344634.127000002,600470.988000001 344635.181,600469.530000002 344637.270000001,600469.02 344638.0,600469.84 344638.57,600470.450000001 344637.700000001,600471.746 344635.846000003,600472.401 344634.908999998,600476.305 344630.522000002,600482.146000001 344624.251000002,600484.730000001 344621.933000002,600483.519000001 344621.073999999,600481.183 344623.484000001,600477.1355 344627.935700001,600471.723000002 344634.127000002)))",INTERSECTS,66.81663755080,38.45955675880
"MULTIPOLYGON (((600912.57 344227.581,600889.599 344232.612,600890.027 344234.566,600914.894 344229.119000001,600914.535 344227.206,600914.5349 344227.206,600913.896 344223.801999999,600913.386 344221.085000001,600913.32 344220.731000001,600913.22 344220.196,600912.968 344218.853,600912.572 344216.737,600910.606 344217.105,600911.002 344219.221000001,600911.257 344220.58,600911.318 344220.908,600911.382 344221.247,600911.929 344224.164999999,600912.57 344227.581)))",INTERSECTS,76.22896670150,72.22942580490
"MULTIPOLYGON (((600459.352 344454.038000003,600454.175342568 344451.942255897,600453.600410588 344453.255882611,600458.893 344455.272000004,600459.647 344455.582000004,600462.524000001 344456.765000002,600463.531000001 344457.179,600463.105 344458.214,600464.195 344458.662,600465.502000001 344455.482000003,600464.413 344455.034000002,600464.028000001 344455.969000002,600463.102 344455.545000002,600459.352 344454.038000003)))",INTERSECTS,19.31621543170,10.75522750110
"MULTIPOLYGON (((600769.530688787 344246.154584099,600768.008719658 344246.478142295,600771.106465581 344260.787380062,600772.457760114 344260.51626366,600769.530688787 344246.154584099)))",INTERSECTS,14.86843527750,8.28637249917
"MULTIPOLYGON (((600437.225728745 344592.071931981,600435.207254253 344592.20293198,600423.33003977 344593.019812945,600423.389294023 344594.396999178,600434.874881789 344593.60386396,600437.203000001 344593.504609711,600437.225728745 344592.071931981)))",INTERSECTS,13.17582104090,6.01742049869
